id,name,area.name,salary.from,salary.to,salary.currency,salary.gross,employer.name,snippet.requirement,snippet.responsibility,schedule.name
77330018,Data-engineer,Москва,,,,,BAUM STORAGE,Опыт работы с Apache Spark. Опыт работы с Apache Spark Streaming. Опыт работы с Apache Kafka. Опыт работы с kubernetes. ,"Участие в разработке распределенного вычислительного кластера. Настройка Spark, как центрального фреймворка на платформе. Настройка load balancer kubernetes для возможности динамически...",Полный день
71220088,Middle/Senior Data Engineer,Москва,200000.0,,RUR,False,24Н Софт,"...с Hadoop, Pyspark будет преимуществом. Желательно понимание терминов <highlighttext>Data</highlighttext> Sciencе при работе с данными (обучающая и валидационная выборки, <highlighttext>Data</highlighttext> Leak).","Извлечение, преобразование, загрузка данных и их обработка. Построение датасетов для <highlighttext>data</highlighttext> science моделей и аналитики. Построение надежных и оптимальных пайплайнов...",Гибкий график
77472595,Data engineer (Wink),Москва,,,,,Ростелеком Информационные Технологии,"Опыт работы <highlighttext>инженером</highlighttext>, разработчиком, или архитектором систем хранения и обработки данных. Опыт построения BI-решений и работы с ETL-инструментами. ","Построение системы сбора и обработки данных, в том числе: 1. Создание и автоматизация ETL процедур. 2. Участие в процессах контроля...",Удаленная работа
77422489,Data Engineer (Розничный Блок),Санкт-Петербург,,,,,СБЕР,"...использованием стека технологий Big <highlighttext>Data</highlighttext> (Hadoop, Spark, Hive/Impala). Знание основных понятий и концепций из области <highlighttext>Data</highlighttext> Warehousing. ","...по вопросам работы с данными. Предоставление экспертной поддержки внутренним потребителям (<highlighttext>data</highlighttext> analysts, <highlighttext>data</highlighttext> scientists) по вопросам, связанным с использованием данных.",Полный день
77481823,Data Engineer,Москва,,,,,"Nitka Technologies, Inc.","Опыт работы на позиции <highlighttext>Data</highlighttext> <highlighttext>engineer</highlighttext> / <highlighttext>Data</highlighttext> scientist. Опыт работы с инструментами работы с данными (Databricks, Spark, Kafka, Airflow, и...",Работать над несколькими внутренними проектами заказчика по построению ETL-процессов. Мигрировать существующие ETL-процессы на новую платформу. Анализировать данные и...,Удаленная работа
77449456,Data engineer,Москва,,,,,Ингосстрах,"Опыт работы cо Spark/Hadoop, Kafka, HiveQL. Опыт работы с PostgreSQL, Oracle. Опыт разработки на Scala/Python. Желательно (необязательно). ","Текущая команда проекта ML OPS: 15 DS, 4 MLOps, <highlighttext>Data</highlighttext> <highlighttext>engineer</highlighttext>, выделенные специалисты от отделов Информационной безопасности, Devops, Инфраструктуры (K...",Удаленная работа
77367359,Data Engineer,Москва,,,,,Aram Meem Services,Work of experience of 3+ years in a similar role. 2+ commercial projects under the belt. ,Participate in design and code reviews. Implement security and <highlighttext>data</highlighttext> protection solutions. Maintain and develop <highlighttext>data</highlighttext> quality processes.,Удаленная работа
77464171,Data Engineer,Москва,,,,,билайн,"СУБД – PostgreSQL, Greenplum, Aerospike, Oracle, SQL Server. Опыт разработки на Spark, Scala от 2 лет. Знание стека: Hadoop, Airflow, PostgreSQL...","Анализ требований к витринам данных (взаимодействие с владельцем продукта, BI-разработчиками, <highlighttext>data</highlighttext> scientist-ами). Поиск и исследование источников данных для...",Полный день
76943642,Data Science Trainee,Москва,,,,,Вкусно — и точка,"Experience with Big <highlighttext>Data</highlighttext> technologies preferred — Hadoop, Spark, H20.ai, Cloud AI platforms, containerization. Experience with <highlighttext>data</highlighttext> visualization tools preferred — Power...",...<highlighttext>data</highlighttext> products. <highlighttext>Engineer</highlighttext> features by using their business acumen to find new ways to combine disparate internal and external <highlighttext>data</highlighttext>...,Полный день
77121880,Python Backend Developer / Data Engineer,Москва,,250000.0,RUR,False,DataGo!,"Наличие опыта разработки на Python (Pandas, Numpy), с асинхронным стэком в частности (FastAPI, asyncio, aiohttp) – от 2-ух лет. ",Разрабатывать и улучшать наш продукт – стриминг данных – с помощью FastAPI; Сервис высоконагруженный – около 4000 RPS. Работать с интеграциями – разрабатывать коннекторы...,Удаленная работа
76945904,Data Engineer,Москва,,,,,Rubius,"Понимание основных операций ДБ и DWH. Опыт работы с Hadoop технологиями (Spark, Hive и тд). Хорошее знание SQL, Python. ",...из/в <highlighttext>Data</highlighttext> Lake. Тестировать результаты преобразования данных и проверять их целостность. Писать документацию - комментировать код. Работать с <highlighttext>data</highlighttext>-аналитиками...,Удаленная работа
69658696,Data Engineer,Москва,,,,,Банк ВТБ (ПАО),"...работы с BI системами и средствами визуализации. Знания в области BigData (Hadoop, Spark, Hue). Желание развиваться в направлении <highlighttext>data</highlighttext> <highlighttext>engineering</highlighttext>.",Тестирование нового функционала и витрин в DataLake. Выстраивание процессов <highlighttext>Data</highlighttext> Governance на инфраструктуре Hadoop совместно с CDO Банка. ,Полный день
